coordinacion,categoria_producto,pertenece_CIAD,participacion_estudiante
Guaymas,Otros,No,No
Culiacán,Otros,Sí,Sí
TAOA,Otros,Sí,Sí
Culiacán,Otros,No,No
Ciencia de los Alimentos,Otros,No,No
TAOV,Otros,No,No
TAOV,Otros,Sí,Sí
Desarrollo Regional,Otros,Sí,Sí
Delicias,Otros,No,No
Cuauhtémoc,Otros,Sí,No
Culiacán,Otros,Sí,Sí
Investigación,Otros,Sí,No
Investigación,Otros,No,No
Investigación,Otros,No,No
Investigación,Otros,No,No
Investigación,Otros,No,No
Investigación,Otros,No,No
Investigación,Otros,No,No
TAOV,Editores,No,No
Ciencia de los Alimentos,Editores,No,No
Mazatlán,Editores,Sí,No
TAOA,Editores,Sí,No
Ciencia de los Alimentos,Editores,Sí,No
Ciencia de los Alimentos,Editores,Sí,No
Ciencia de los Alimentos,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Desarrollo Regional,Editores,Sí,No
TAOV,Editores,Sí,No
Nutrición,Editores,Sí,No
Guaymas,Editores,Sí,No
Guaymas,Editores,Sí,No
Guaymas,Editores,Sí,No
Culiacán,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
TAOV,Editores,Sí,No
Nutrición,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
Mazatlán,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
Ciencia de los Alimentos,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
TAOA,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
Mazatlán,Editores,Sí,No
Mazatlán,Editores,Sí,No
Mazatlán,Editores,Sí,No
TAOV,Editores,Sí,No
Nutrición,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
Ciencia de los Alimentos,Editores,Sí,No
TAOA,Editores,Sí,No
Guaymas,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
TAOV,Editores,Sí,No
Mazatlán,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Nutrición,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
Delicias,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
Ciencia de los Alimentos,Editores,Sí,No
Ciencia de los Alimentos,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Mazatlán,Editores,Sí,No
Mazatlán,Editores,Sí,No
Ciencia de los Alimentos,Editores,Sí,No
TAOA,Editores,Sí,No
Guaymas,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
Guaymas,Editores,Sí,No
Delicias,Editores,Sí,No
TAOA,Editores,Sí,No
Mazatlán,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
Mazatlán,Editores,Sí,No
Mazatlán,Editores,Sí,No
Mazatlán,Editores,Sí,No
Mazatlán,Editores,Sí,No
Mazatlán,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Mazatlán,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
Mazatlán,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
Mazatlán,Editores,Sí,No
Mazatlán,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Mazatlán,Editores,Sí,No
Nutrición,Editores,Sí,No
Nutrición,Editores,Sí,No
Nutrición,Editores,Sí,No
Nutrición,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
Culiacán,Editores,Sí,No
TAOV,Editores,Sí,No
Nutrición,Editores,Sí,No
Nutrición,Editores,Sí,No
TAOA,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
Guaymas,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
Mazatlán,Editores,Sí,No
Nutrición,Editores,Sí,No
Nutrición,Editores,Sí,No
Cuauhtémoc,Editores,Sí,No
Nutrición,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Nutrición,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
Nutrición,Editores,Sí,No
Mazatlán,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
Nutrición,Editores,Sí,No
Nutrición,Editores,Sí,No
Nutrición,Editores,Sí,No
Delicias,Editores,Sí,No
Nutrición,Editores,Sí,No
Nutrición,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
Culiacán,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
Desarrollo Regional,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
Culiacán,Editores,Sí,No
TAOA,Editores,Sí,No
Nutrición,Editores,Sí,No
TAOA,Editores,Sí,No
Mazatlán,Editores,Sí,No
Nutrición,Editores,Sí,No
Culiacán,Editores,Sí,No
TAOV,Editores,Sí,No
TAOA,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
TAOV,Editores,Sí,No
Delicias,Editores,Sí,No
Culiacán,Editores,Sí,No
Culiacán,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
Delicias,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
TAOA,Editores,Sí,No
Mazatlán,Editores,Sí,No
Guaymas,Editores,Sí,No
TAOV,Editores,Sí,No
